iter	Passed	Remaining
0	9	98678
1	17	85983
2	25	83802
3	33	83634
4	41	82812
5	51	85217
6	59	84658
7	67	84587
8	75	83582
9	82	82723
10	90	82233
11	98	81751
12	106	81779
13	113	80925
14	120	80114
15	127	79505
16	134	79051
17	141	78643
18	148	78075
19	155	77448
20	162	77344
21	171	77591
22	179	78000
23	187	78002
24	196	78220
25	204	78310
26	211	78289
27	219	78064
28	226	77852
29	232	77320
30	238	76840
31	245	76384
32	252	76378
33	260	76352
34	267	76164
35	274	75937
36	281	75828
37	289	75828
38	296	75670
39	303	75452
40	310	75349
41	317	75232
42	324	75172
43	332	75230
44	339	75181
45	346	75024
46	353	74930
47	360	74658
48	366	74419
49	372	74164
50	378	73917
51	385	73677
52	392	73586
53	399	73559
54	405	73334
55	411	73110
56	417	72899
57	425	72919
58	432	72876
59	439	72848
60	447	72851
61	454	72908
62	462	72886
63	469	72858
64	476	72872
65	484	72888
66	491	72888
67	498	72826
68	505	72803
69	512	72764
70	519	72608
71	525	72432
72	532	72374
73	539	72310
74	545	72234
75	551	72046
76	558	71965
77	565	71884
78	571	71745
79	578	71673
80	584	71584
81	591	71511
82	597	71428
83	604	71353
84	611	71316
85	618	71247
86	624	71166
87	630	71067
88	637	71018
89	644	70962
90	652	71010
91	659	71001
92	666	71019
93	673	71010
94	680	70982
95	687	70895
96	694	70899
97	702	70943
98	709	71004
99	717	71037
100	725	71075
101	732	71111
102	740	71114
103	747	71120
104	755	71223
105	763	71273
106	771	71311
107	778	71303
108	785	71289
109	792	71279
110	799	71252
111	807	71294
112	814	71285
113	822	71311
114	829	71333
115	837	71367
116	844	71327
117	851	71315
118	858	71313
119	865	71300
120	873	71309
121	880	71323
122	888	71323
123	895	71301
124	902	71312
125	910	71321
126	917	71307
127	924	71298
128	932	71334
129	939	71321
130	946	71315
131	954	71335
132	961	71329
133	969	71386
134	977	71409
135	984	71424
136	992	71445
137	999	71460
138	1007	71464
139	1015	71514
140	1023	71533
141	1030	71534
142	1037	71510
143	1045	71540
144	1052	71524
145	1059	71517
146	1066	71486
147	1073	71470
148	1081	71480
149	1089	71553
150	1097	71570
151	1104	71570
152	1112	71625
153	1119	71561
154	1126	71562
155	1132	71482
156	1138	71399
157	1145	71363
158	1152	71321
159	1159	71281
160	1166	71265
161	1173	71253
162	1180	71242
163	1187	71213
164	1193	71165
165	1200	71122
166	1207	71095
167	1214	71096
168	1221	71060
169	1230	71128
170	1237	71131
171	1244	71107
172	1252	71124
173	1259	71134
174	1267	71178
175	1275	71178
176	1282	71174
177	1289	71173
178	1297	71196
179	1305	71201
180	1312	71197
181	1319	71197
182	1327	71195
183	1333	71160
184	1341	71179
185	1349	71187
186	1356	71181
187	1363	71168
188	1371	71203
189	1379	71203
190	1387	71259
191	1395	71278
192	1403	71292
193	1410	71309
194	1418	71323
195	1427	71398
196	1434	71396
197	1442	71392
198	1450	71448
199	1458	71454
200	1465	71468
201	1472	71447
202	1480	71437
203	1487	71440
204	1495	71462
205	1502	71429
206	1509	71407
207	1517	71435
208	1524	71422
209	1532	71430
210	1539	71424
211	1547	71432
212	1554	71424
213	1561	71424
214	1569	71438
215	1577	71470
216	1585	71467
217	1592	71469
218	1600	71470
219	1608	71496
220	1615	71497
221	1623	71499
222	1631	71522
223	1638	71526
224	1646	71524
225	1653	71510
226	1661	71517
227	1668	71525
228	1676	71531
229	1683	71532
230	1691	71537
231	1699	71548
232	1706	71540
233	1714	71537
234	1721	71552
235	1729	71552
236	1736	71547
237	1744	71538
238	1751	71532
239	1758	71523
240	1766	71516
241	1772	71484
242	1779	71467
243	1786	71446
244	1793	71424
245	1801	71417
246	1808	71416
247	1815	71409
248	1823	71414
249	1831	71420
250	1838	71425
251	1846	71429
252	1854	71439
253	1861	71435
254	1869	71439
255	1876	71441
256	1884	71458
257	1892	71460
258	1900	71460
259	1907	71459
260	1915	71462
261	1922	71472
262	1930	71471
263	1938	71491
264	1946	71492
265	1953	71481
266	1960	71473
267	1967	71464
268	1975	71448
269	1982	71443
270	1990	71441
271	1997	71454
272	2004	71405
273	2013	71463
274	2019	71417
275	2026	71398
276	2033	71382
277	2040	71362
278	2047	71334
279	2054	71306
280	2060	71282
281	2068	71272
282	2074	71239
283	2081	71217
284	2088	71200
285	2095	71163
286	2102	71138
287	2108	71117
288	2116	71104
289	2123	71085
290	2131	71121
291	2139	71143
292	2146	71099
293	2152	71061
294	2160	71064
295	2166	71033
296	2173	71009
297	2179	70968
298	2186	70926
299	2192	70882
300	2198	70838
301	2204	70793
302	2210	70751
