iter	TotalF1	MultiClass
0	0.4149790791	1.098409966
1	0.4979486785	1.097890604
2	0.5130653317	1.09740337
3	0.4948392156	1.097186122
4	0.4719499842	1.096946105
5	0.4435878507	1.096721207
6	0.4142147039	1.096500089
7	0.4023048217	1.0962976
8	0.41962122	1.095989636
9	0.4113344693	1.095792457
10	0.4161615492	1.095465054
11	0.4035782217	1.095264365
12	0.3998726972	1.095074116
13	0.3902320651	1.094913744
14	0.4056564383	1.094500396
15	0.4174243195	1.094171284
16	0.41576703	1.093995074
17	0.4082847458	1.093821833
18	0.4045262893	1.093629513
19	0.4073111637	1.093417305
20	0.4029942022	1.093216706
21	0.3979942308	1.093019706
22	0.3933847627	1.092853035
23	0.3910886601	1.092661256
24	0.3990926112	1.092196971
25	0.3974528648	1.091887387
26	0.4062306009	1.091545136
27	0.4121397291	1.091153927
28	0.4151007595	1.090836874
29	0.414356387	1.090656884
30	0.4121911019	1.090440265
31	0.4116303793	1.090246146
32	0.4103736264	1.090011888
33	0.4056778417	1.089808139
34	0.4080416716	1.089582342
35	0.4163399793	1.089162874
36	0.4203253742	1.08887129
37	0.4242263632	1.088424914
38	0.4241198711	1.088232504
39	0.4299117681	1.0879339
40	0.4274403685	1.087739421
41	0.4264815251	1.087451076
42	0.4300212017	1.086998491
43	0.4297356035	1.086810131
44	0.4289563436	1.086589733
45	0.4304920453	1.086168376
46	0.4308734327	1.085986045
47	0.4306952097	1.085784276
48	0.4322058086	1.085422046
49	0.4288659625	1.085259065
50	0.4272254282	1.085081774
51	0.4244071189	1.084900794
52	0.4205751907	1.084712884
53	0.4212648983	1.084499325
54	0.4215504258	1.084304576
55	0.4198842093	1.084130345
56	0.4191919494	1.083944055
57	0.4263458552	1.083513879
58	0.4225546571	1.083274761
59	0.4225546571	1.083049234
60	0.420491033	1.08274262
61	0.4198842093	1.08256497
62	0.4198006246	1.082339712
63	0.4194762684	1.082139203
64	0.4194762684	1.081940583
65	0.4180870784	1.081731075
66	0.4163575458	1.081556754
67	0.4152931224	1.081336716
68	0.4162759577	1.081131257
69	0.415575092	1.080957026
70	0.4137454039	1.080789905
71	0.4164773761	1.080319051
72	0.4171767481	1.080128621
73	0.4175918191	1.079929642
74	0.4147933671	1.079767021
75	0.4154949437	1.079395701
76	0.4187823184	1.079164593
77	0.4180048922	1.078976683
78	0.4152133153	1.078835211
79	0.4147933671	1.07865693
80	0.4105560737	1.07848513
81	0.4105560737	1.078311439
82	0.4084193102	1.078170057
83	0.4105560737	1.077911681
84	0.4098451729	1.07773979
85	0.4084193102	1.07754324
86	0.4092074757	1.077351371
87	0.4080549584	1.077193159
88	0.4073375247	1.077039448
89	0.4066187121	1.076688826
90	0.4012747045	1.076520716
91	0.4027295887	1.076115557
92	0.4070606165	1.075675661
93	0.4041788406	1.075494771
94	0.3998141454	1.07533017
95	0.4020028533	1.075111841
96	0.3990165403	1.074921862
97	0.3978834945	1.074755551
98	0.4015479764	1.074467746
99	0.4008179438	1.074274617
100	0.4049013677	1.073966473
101	0.4053466073	1.073730776
102	0.404625923	1.073320938
103	0.404625923	1.073060312
104	0.4099988914	1.072647594
105	0.4093633832	1.072502252
106	0.4075003726	1.072319832
107	0.4050708291	1.07216693
108	0.4039038488	1.072015468
109	0.401729234	1.071812889
110	0.3995419198	1.071668627
111	0.3973417612	1.071506006
112	0.4046970459	1.071042981
113	0.4010692872	1.07087136
114	0.4020716048	1.070704869
115	0.4001534887	1.070535408
116	0.4082899482	1.070251473
117	0.4078516921	1.070012806
118	0.4046970459	1.069866834
119	0.4006125115	1.069720862
120	0.3984131439	1.06957093
121	0.3966690301	1.069363041
122	0.3984131439	1.068968323
123	0.3984131439	1.06883612
124	0.3986848639	1.06864803
125	0.3942440762	1.068479199
126	0.3949878767	1.068313428
127	0.3962007722	1.068117058
128	0.3998808248	1.06771802
129	0.4003394945	1.067545229
130	0.4013427697	1.067392778
131	0.3976771389	1.067242486
132	0.3979483832	1.067067445
133	0.3986848639	1.066928583
134	0.4063422504	1.066638528
135	0.4056225025	1.066498046
136	0.4070606165	1.066344064
137	0.4116943272	1.066091088
138	0.410277423	1.065932786
139	0.4070606165	1.065714548
140	0.4063422504	1.065577215
141	0.4056225025	1.065448702
142	0.4070606165	1.065260972
143	0.4070606165	1.064998547
144	0.4049013677	1.064825036
145	0.4027295887	1.064682394
146	0.4027295887	1.064538041
147	0.403454916	1.064387839
148	0.4012747045	1.064248527
149	0.4012747045	1.064095175
150	0.400545137	1.063917615
151	0.3998141454	1.063705676
152	0.3998141454	1.063544855
153	0.3994198972	1.063354335
154	0.3984131439	1.063214213
155	0.3986848639	1.063069051
156	0.3962007722	1.062908859
157	0.3972104497	1.062691341
158	0.3986848639	1.062502801
159	0.395730202	1.062373568
160	0.3964710578	1.062224176
161	0.4006125115	1.061948341
162	0.4006125115	1.061765381
163	0.3979483832	1.061623908
164	0.4042496248	1.061346093
165	0.4063422504	1.060936706
166	0.4063422504	1.060754195
167	0.4089293615	1.060525788
168	0.408493224	1.060380445
169	0.4063422504	1.060250492
170	0.4060659069	1.060101101
171	0.404625923	1.059954228
172	0.404625923	1.059679563
173	0.4074274368	1.059263696
174	0.4088551396	1.058896515
175	0.4116943272	1.058643899
176	0.4135290177	1.058199863
177	0.4142310698	1.058057671
178	0.4142310698	1.057804694
179	0.4128256479	1.057663132
180	0.4149318088	1.057404936
181	0.4135290177	1.057251764
182	0.4139501027	1.057109752
183	0.4128256479	1.05694857
184	0.413248471	1.056790899
185	0.4181325339	1.056511914
186	0.4192322385	1.056266857
187	0.4206101831	1.056133574
188	0.4226676515	1.055831371
189	0.4226676515	1.055484709
190	0.4240330517	1.055076311
191	0.4233509731	1.054940509
192	0.4233509731	1.054807856
193	0.423746277	1.054418537
194	0.423746277	1.054210018
195	0.4253934982	1.053814669
196	0.4247138919	1.053631079
197	0.424801257	1.053505536
198	0.4258720409	1.0532414
199	0.4258720409	1.053085259
200	0.4238327493	1.052971775
201	0.4245137472	1.052830662
202	0.4244267299	1.052675601
203	0.4241198711	1.052544658
204	0.4234372432	1.052419475
205	0.423746277	1.052103772
206	0.4234372432	1.051971479
207	0.4241198711	1.051826227
208	0.4243199513	1.051684574
