iter	TotalF1	MultiClass
0	0.4822307603	1.0981424
1	0.4972956291	1.097733534
2	0.4662728818	1.09753878
3	0.444147768	1.097335202
4	0.4324924715	1.097125052
5	0.4184293023	1.096945784
6	0.4042594193	1.096752561
7	0.393066623	1.096544391
8	0.3848869895	1.096352068
9	0.368605073	1.09614678
10	0.3595613246	1.095951216
11	0.3831535284	1.095455282
12	0.3685741778	1.095251704
13	0.3648633545	1.095036151
14	0.3869805596	1.094699496
15	0.3937583236	1.094289009
16	0.3859833596	1.094079579
17	0.3762820199	1.093862135
18	0.3859372926	1.093537815
19	0.3956730116	1.093107069
20	0.3887321749	1.092930593
21	0.3930157907	1.092595109
22	0.3940031162	1.092324812
23	0.3897780612	1.09211115
24	0.3790066912	1.091913695
25	0.3654150689	1.091722002
26	0.3912901765	1.091352393
27	0.3900946641	1.091166733
28	0.3760012274	1.090963965
29	0.3772791585	1.090778936
30	0.3898917688	1.09041671
31	0.3898983049	1.090221055
32	0.3841935424	1.090049621
33	0.3804757995	1.089880979
34	0.3879383197	1.089422591
35	0.3883019727	1.089128974
36	0.3817870685	1.088960692
37	0.3848509489	1.088737936
38	0.3771944295	1.088549575
39	0.3722481855	1.088350859
40	0.3637503591	1.088195992
41	0.3637503591	1.087869151
42	0.3621371228	1.087527094
43	0.354791254	1.087366284
44	0.357255736	1.087050428
45	0.3688399445	1.086783643
46	0.3888868975	1.086436634
47	0.3855565738	1.08612573
48	0.3828315898	1.085937999
49	0.3800262195	1.085745766
50	0.4043917501	1.085243439
51	0.4135400562	1.084973413
52	0.4077475589	1.084802159
53	0.402480564	1.084622442
54	0.4025844997	1.084422375
55	0.4047340831	1.083963087
56	0.4004225637	1.083798676
57	0.3999710501	1.083640388
58	0.3925060071	1.083475257
59	0.3971400359	1.083178579
60	0.3957924291	1.082987607
61	0.3875929979	1.082817614
62	0.3868386424	1.082612235
63	0.3830439932	1.08243729
64	0.3838059922	1.082132508
65	0.3807486935	1.081924609
66	0.3886106169	1.081594076
67	0.3818231474	1.081398332
68	0.3810551509	1.081225907
69	0.3989375786	1.080896275
70	0.3916667514	1.080743119
71	0.3945836082	1.080408265
72	0.3953235915	1.080044508
73	0.4119472763	1.079698579
74	0.411521746	1.079524714
75	0.4126503598	1.079109095
76	0.4182281295	1.078776851
77	0.4301919183	1.078417417
78	0.4272175223	1.078226984
79	0.4261547979	1.07805411
80	0.4247139911	1.077861427
81	0.4261547979	1.077575914
82	0.4258672929	1.077370805
83	0.4261547979	1.077206575
84	0.4264424271	1.077029018
85	0.433234254	1.076670573
86	0.4338050699	1.076293941
87	0.4338968761	1.076005457
88	0.4336050551	1.075807641
89	0.43736653	1.075496647
90	0.4374600061	1.075350334
91	0.4386719404	1.074917698
92	0.4370050181	1.074726635
93	0.434666204	1.074568257
94	0.4343746005	1.074360808
95	0.434096666	1.074195947
96	0.4357641774	1.073863163
97	0.4337917682	1.073708747
98	0.4335005381	1.07353155
99	0.4320158773	1.073380465
100	0.4307708999	1.073164732
101	0.4314356745	1.072769462
102	0.4337018806	1.072469722
103	0.4352907822	1.072174485
104	0.4356728521	1.072038617
105	0.4361267257	1.071848815
106	0.4341742098	1.071683594
107	0.4321888951	1.071526566
108	0.4318151789	1.071319206
109	0.4370734178	1.071044768
110	0.4364875681	1.070613752
111	0.4387956564	1.070357502
112	0.436846714	1.070159326
113	0.4361267257	1.069966193
114	0.442909513	1.069760454
115	0.4406791008	1.069580467
116	0.4438007061	1.069159625
117	0.4417166964	1.069004038
118	0.4397124551	1.068871591
119	0.4417166964	1.06854313
120	0.4399728552	1.068396006
121	0.4380197992	1.068246002
122	0.4381137433	1.068089424
123	0.4370734178	1.067822549
124	0.4356921013	1.067654176
125	0.4347579918	1.067495798
126	0.4383133838	1.06712934
127	0.4367350296	1.066981767
128	0.4370983747	1.066793495
129	0.4378199329	1.06638616
130	0.4374600061	1.066238316
131	0.436829127	1.066018981
132	0.4417166964	1.065726355
133	0.4441942824	1.065278052
134	0.443552443	1.065108869
135	0.4416611912	1.064867115
136	0.4410127305	1.064654083
137	0.4416611912	1.064361997
138	0.4403631532	1.064202088
139	0.4410127305	1.063926389
140	0.4396172308	1.063776205
141	0.4414688754	1.06327874
142	0.4414688754	1.063135578
143	0.4408213189	1.062964775
144	0.4408213189	1.062763538
145	0.4388719711	1.062623077
146	0.4390606322	1.062473163
147	0.4396172308	1.062214211
148	0.4410127305	1.061732684
149	0.4406582505	1.061598706
150	0.4387017456	1.061360823
151	0.4387017456	1.061211899
152	0.437685239	1.061062525
153	0.4370281745	1.060884338
154	0.4371226269	1.06072632
155	0.4378759678	1.060567401
156	0.4365587727	1.060427841
157	0.4365587727	1.060266942
158	0.4378759678	1.060072728
159	0.4378759678	1.059875363
160	0.4372179478	1.059713473
161	0.4351430739	1.059554284
162	0.4358040837	1.059190167
163	0.4351430739	1.059028458
164	0.4351430739	1.058869269
165	0.4350500726	1.058713502
166	0.4343883886	1.058560796
167	0.4357283285	1.058435282
168	0.4329779825	1.058288339
169	0.433162297	1.058146798
170	0.4326809499	1.057995262
171	0.4389959388	1.057637178
172	0.4366628811	1.057486993
173	0.4369559295	1.057326994
174	0.4399442506	1.05692335
175	0.4383411591	1.05673823
176	0.4405971065	1.056588586
177	0.4419569684	1.056318289
178	0.4431533839	1.056036018
179	0.4421555696	1.055875569
180	0.4429008979	1.055746003
181	0.4416037358	1.055584113
182	0.4424512477	1.05541601
183	0.4427468698	1.055130497
184	0.4437459569	1.054917556
185	0.443296264	1.054801315
186	0.4462226835	1.054506168
187	0.4471063093	1.054149885
188	0.4475455981	1.053886431
189	0.4464672717	1.053755695
190	0.4464672717	1.053620366
191	0.4465659124	1.053440559
192	0.4455807215	1.05328047
193	0.4456797311	1.05311885
194	0.4446884651	1.052998558
195	0.4449854114	1.052870433
196	0.4443390499	1.052726821
197	0.44239329	1.052588521
198	0.4431413771	1.052437616
199	0.4447878334	1.052305529
200	0.4437904143	1.052183437
201	0.4408922494	1.051965003
202	0.4415443186	1.051805454
203	0.4419382834	1.051677329
204	0.4422937056	1.051534167
205	0.4435931311	1.05128539
206	0.4447878334	1.051072718
207	0.4441413612	1.050945313
208	0.4427470553	1.050809805
209	0.4428450786	1.050676637
210	0.4421952603	1.050472969
211	0.4420976916	1.050330528
212	0.4414472077	1.050090755
213	0.4417424649	1.049920401
214	0.44239329	1.049798038
215	0.4417424649	1.049666042
216	0.44239329	1.049413032
217	0.4430429932	1.049148048
218	0.4424912188	1.049020823
219	0.4425900261	1.04889684
220	0.4412854084	1.048746655
221	0.4412854084	1.048605834
222	0.4406313969	1.048472127
223	0.4406313969	1.048314559
224	0.4406313969	1.04820102
225	0.440729695	1.047957645
226	0.438759381	1.047826368
227	0.439417303	1.047687078
228	0.438759381	1.047532122
229	0.438759381	1.047124966
230	0.4380039046	1.04692508
231	0.4412854084	1.046668829
232	0.4418399354	1.046395021
233	0.4411875229	1.046246277
234	0.4411875229	1.046098253
235	0.4425900261	1.045957793
236	0.4411875229	1.045838852
237	0.4437904143	1.045597458
238	0.4424912188	1.045480317
239	0.4430429932	1.045144382
240	0.4433953028	1.044755234
241	0.4414472077	1.044598567
242	0.4433953028	1.04444397
243	0.4427470553	1.044340426
244	0.4420976916	1.044208789
245	0.4420976916	1.044074451
246	0.4446884651	1.043716637
247	0.4446884651	1.043588061
248	0.4453333878	1.043390786
249	0.4453333878	1.043272205
250	0.4452344561	1.042898994
251	0.4459772102	1.042786536
252	0.4445899745	1.042603397
253	0.4471613331	1.042234058
254	0.4465201315	1.042116467
255	0.4465201315	1.041977987
256	0.4459772102	1.04184608
257	0.448779692	1.041445948
258	0.448880844	1.041319083
259	0.4498172563	1.041193299
260	0.449179954	1.041048787
261	0.449179954	1.040645953
262	0.4495178249	1.040390243
263	0.4494162534	1.040029547
264	0.4503511343	1.03989647
265	0.45098588	1.039795266
266	0.450386599	1.039544058
267	0.4513195408	1.039412781
268	0.4494162534	1.039265118
269	0.4494162534	1.039146807
270	0.4497153221	1.039024534
271	0.4510196497	1.038655195
272	0.4510196497	1.038540845
273	0.450686174	1.038401915
274	0.452912482	1.038160701
275	0.4550976684	1.037791272
276	0.4553172984	1.037566265
277	0.4534381559	1.037408967
278	0.4546919495	1.037241495
279	0.4550157315	1.036981643
280	0.4550157315	1.036688927
281	0.4556397497	1.036424573
282	0.4556397497	1.0361848
283	0.4565981512	1.035981582
284	0.4572030447	1.035875516
285	0.4565823809	1.035723531
286	0.4568847235	1.035619086
287	0.4555362578	1.035493662
