iter	Passed	Remaining
0	10	101470
1	18	91716
2	24	82848
3	31	78151
4	39	79883
5	48	80622
6	57	82689
7	66	82565
8	74	82457
9	82	82277
10	90	82109
11	100	83302
12	108	83284
13	117	83926
14	125	83526
15	133	83379
16	140	82224
17	148	82134
18	155	81659
19	162	81236
20	170	80925
21	177	80730
22	185	80520
23	192	80033
24	199	79717
25	207	79709
26	216	79897
27	224	79918
28	232	79996
29	241	80228
30	249	80109
31	257	80056
32	265	80276
33	274	80564
34	281	80070
35	289	80096
36	296	79968
37	303	79516
38	311	79543
39	319	79506
40	327	79571
41	335	79482
42	342	79357
43	349	79174
44	358	79266
45	365	79180
46	374	79277
47	382	79231
48	389	79142
49	398	79355
50	405	79019
51	411	78682
52	418	78578
53	426	78618
54	432	78288
55	441	78467
56	450	78538
57	458	78543
58	465	78476
59	473	78361
60	480	78254
61	487	78174
62	495	78112
63	502	78041
64	510	78063
65	518	78016
66	526	77997
67	534	78003
68	542	78065
69	549	78003
70	557	77910
71	564	77832
72	571	77732
73	579	77692
74	586	77621
75	593	77515
76	600	77411
77	608	77362
78	616	77438
79	623	77369
80	632	77400
81	639	77349
82	646	77296
83	654	77309
84	662	77226
85	669	77161
86	676	77136
87	684	77110
88	691	77033
89	699	77047
90	707	77008
91	714	76949
92	722	76947
93	730	76933
94	737	76872
95	744	76842
96	752	76783
97	759	76736
98	766	76668
99	773	76607
100	781	76584
101	788	76508
102	795	76450
103	802	76396
104	810	76365
105	817	76282
106	824	76241
107	832	76244
108	839	76215
109	847	76198
110	854	76167
111	862	76124
112	869	76074
113	876	76023
114	884	75995
115	891	75927
116	898	75889
117	905	75863
118	912	75806
119	920	75772
120	927	75727
121	934	75699
122	942	75665
123	950	75678
124	957	75619
125	964	75576
126	971	75531
127	979	75512
128	986	75506
129	993	75457
130	1001	75419
131	1008	75360
132	1015	75329
133	1022	75279
134	1029	75239
135	1037	75216
136	1045	75236
137	1053	75254
138	1061	75300
139	1069	75289
140	1077	75313
141	1084	75302
142	1091	75270
143	1099	75224
144	1106	75224
145	1114	75206
146	1122	75214
147	1128	75126
148	1134	75025
149	1141	74929
150	1147	74838
151	1154	74780
152	1160	74676
153	1166	74576
154	1172	74473
155	1178	74374
156	1185	74293
157	1191	74188
158	1198	74156
159	1204	74063
160	1210	73974
161	1217	73931
162	1226	73998
163	1233	73991
164	1241	73972
165	1248	73976
166	1256	73971
167	1264	73974
168	1273	74055
169	1280	74059
170	1288	74080
171	1296	74088
172	1305	74176
173	1313	74202
174	1322	74232
175	1330	74245
176	1337	74245
177	1345	74269
178	1353	74259
179	1361	74265
180	1368	74263
181	1376	74264
182	1384	74281
183	1393	74333
184	1400	74320
185	1408	74314
186	1416	74342
187	1424	74372
188	1432	74365
189	1441	74410
190	1448	74401
191	1456	74408
192	1464	74432
193	1472	74449
194	1480	74454
195	1488	74434
196	1496	74456
197	1503	74438
198	1511	74426
199	1518	74426
200	1526	74414
201	1534	74423
202	1542	74437
203	1549	74420
204	1557	74405
205	1564	74394
206	1572	74381
207	1580	74410
208	1588	74405
209	1596	74429
210	1602	74359
211	1609	74310
212	1615	74245
213	1622	74182
214	1628	74121
215	1635	74081
216	1641	74017
217	1648	73989
218	1655	73958
219	1663	73927
220	1670	73933
221	1678	73917
222	1685	73890
223	1692	73875
224	1700	73860
225	1707	73848
226	1714	73818
227	1721	73793
228	1728	73770
229	1736	73777
230	1744	73772
231	1751	73756
232	1759	73734
233	1766	73705
234	1773	73697
235	1780	73675
236	1788	73685
237	1796	73704
238	1803	73673
239	1811	73653
240	1818	73646
241	1826	73638
242	1833	73632
243	1841	73638
244	1849	73654
245	1857	73649
246	1864	73636
247	1872	73625
248	1880	73622
249	1888	73640
250	1895	73620
251	1902	73604
252	1910	73595
253	1919	73640
254	1926	73632
255	1934	73614
256	1941	73603
257	1948	73583
258	1955	73561
259	1963	73568
260	1970	73542
261	1978	73554
262	1986	73555
263	1994	73539
264	2001	73518
265	2009	73517
266	2016	73523
267	2024	73501
268	2031	73478
269	2038	73465
270	2046	73457
271	2054	73476
272	2061	73454
273	2068	73437
274	2076	73427
275	2084	73449
276	2091	73425
277	2099	73414
278	2106	73410
279	2115	73443
280	2124	73469
281	2132	73472
282	2139	73475
283	2148	73495
284	2156	73518
285	2164	73514
286	2172	73515
287	2181	73555
288	2189	73559
289	2197	73575
290	2205	73598
291	2213	73605
292	2222	73618
293	2230	73630
294	2238	73633
295	2245	73627
296	2253	73633
297	2261	73632
298	2269	73626
299	2276	73620
300	2284	73613
301	2292	73604
