iter	Passed	Remaining
0	10	102406
1	18	92389
2	27	90679
3	33	84453
4	40	80895
5	53	88556
6	62	88740
7	70	88251
8	78	86788
9	85	85391
10	93	84872
11	102	85172
12	110	84920
13	119	85001
14	127	84893
15	135	84509
16	142	83950
17	150	83441
18	157	82875
19	165	82568
20	172	82037
21	180	81677
22	186	81053
23	193	80488
24	201	80578
25	209	80242
26	216	79943
27	223	79690
28	231	79499
29	238	79365
30	246	79174
31	253	79038
32	261	78958
33	268	78837
34	276	78601
35	283	78480
36	290	78250
37	297	78035
38	304	77872
39	312	77741
40	319	77689
41	327	77651
42	335	77633
43	342	77595
44	350	77546
45	357	77434
46	365	77341
47	372	77192
48	379	77053
49	387	77019
50	394	76910
51	401	76864
52	409	76874
53	416	76803
54	424	76748
55	431	76618
56	438	76539
57	446	76478
58	453	76433
59	461	76376
60	468	76361
61	475	76266
62	482	76158
63	490	76140
64	498	76153
65	506	76197
66	514	76216
67	522	76347
68	530	76315
69	537	76291
70	545	76303
71	553	76333
72	561	76346
73	568	76296
74	576	76351
75	584	76279
76	592	76320
77	599	76313
78	607	76306
79	614	76245
80	622	76182
81	629	76087
82	636	76042
83	644	76085
84	651	76040
85	659	75997
86	666	75927
87	673	75894
88	681	75849
89	688	75793
90	695	75760
91	703	75742
92	710	75734
93	718	75717
94	725	75675
95	732	75574
96	739	75523
97	746	75454
98	754	75483
99	762	75464
100	769	75419
101	776	75397
102	784	75402
103	792	75362
104	799	75327
105	806	75277
106	813	75258
107	821	75250
108	829	75237
109	836	75220
110	843	75179
111	851	75196
112	860	75323
113	868	75289
114	875	75263
115	883	75265
116	890	75258
117	898	75266
118	905	75218
119	913	75179
120	920	75187
121	928	75154
122	935	75148
123	943	75114
124	950	75083
125	959	75170
126	966	75149
127	974	75129
128	981	75093
129	988	75043
130	996	75054
131	1003	75032
132	1010	74998
133	1017	74937
134	1024	74885
135	1031	74838
136	1039	74817
137	1046	74791
138	1053	74732
139	1061	74755
140	1069	74764
141	1076	74756
142	1084	74733
143	1091	74687
144	1098	74658
145	1105	74621
146	1113	74630
147	1121	74656
148	1129	74656
149	1137	74690
150	1145	74741
151	1153	74706
152	1160	74662
153	1167	74615
154	1174	74567
155	1181	74551
156	1188	74497
157	1195	74455
158	1202	74421
159	1209	74385
160	1216	74349
161	1223	74323
162	1231	74336
163	1239	74339
164	1246	74317
165	1254	74325
166	1262	74327
167	1270	74333
168	1278	74370
169	1287	74420
170	1294	74411
171	1302	74402
172	1309	74372
173	1316	74336
174	1323	74301
175	1331	74296
176	1339	74315
177	1347	74329
178	1354	74324
179	1362	74330
180	1369	74292
181	1376	74258
182	1383	74230
183	1390	74195
184	1397	74165
185	1405	74156
186	1412	74125
187	1419	74088
188	1426	74031
189	1433	74006
190	1440	73965
191	1447	73918
192	1455	73950
193	1462	73924
194	1469	73899
195	1476	73856
196	1484	73869
197	1491	73838
198	1499	73833
199	1506	73813
200	1514	73845
201	1522	73832
202	1529	73811
203	1537	73834
204	1544	73816
205	1553	73851
206	1560	73840
207	1567	73805
208	1575	73803
209	1582	73780
210	1589	73763
211	1597	73733
212	1603	73689
213	1610	73639
214	1617	73594
215	1623	73551
216	1630	73527
217	1637	73492
218	1645	73500
219	1653	73502
220	1661	73507
221	1668	73507
222	1677	73530
223	1684	73503
224	1691	73472
225	1698	73448
226	1705	73424
227	1712	73403
228	1719	73382
229	1726	73357
230	1733	73325
231	1740	73300
232	1748	73298
233	1756	73309
234	1763	73292
235	1771	73289
236	1778	73282
237	1786	73274
238	1793	73262
239	1801	73266
240	1808	73251
241	1816	73231
242	1823	73206
243	1830	73183
244	1837	73160
245	1844	73139
246	1852	73128
247	1859	73105
248	1866	73084
249	1872	73046
250	1879	73015
251	1886	72984
252	1893	72960
253	1900	72931
254	1908	72918
255	1915	72900
256	1922	72894
257	1929	72873
258	1937	72856
259	1944	72856
260	1951	72834
261	1959	72812
262	1966	72790
263	1973	72764
264	1980	72738
265	1987	72712
266	1994	72698
267	2002	72716
268	2010	72731
269	2018	72723
270	2025	72709
271	2032	72702
272	2040	72689
273	2047	72684
274	2054	72671
275	2063	72688
276	2070	72664
277	2077	72651
278	2084	72640
279	2091	72614
280	2098	72583
281	2105	72566
282	2112	72545
283	2119	72527
284	2126	72502
285	2134	72514
286	2142	72499
287	2149	72477
288	2156	72457
289	2163	72444
290	2170	72430
291	2177	72402
292	2185	72393
293	2192	72388
294	2200	72392
295	2207	72372
296	2214	72344
297	2221	72321
298	2228	72296
299	2235	72274
300	2242	72249
301	2249	72226
302	2256	72204
303	2263	72184
304	2270	72162
305	2276	72130
306	2283	72105
