iter	TotalF1	MultiClass
0	0.3512717379	1.098431655
1	0.4099260861	1.098124231
2	0.4347311118	1.097616118
3	0.4191997263	1.097444948
4	0.4044855779	1.097250288
5	0.4214562954	1.096880588
6	0.424835756	1.096543376
7	0.4245737451	1.096317488
8	0.4202777043	1.096051013
9	0.4221020786	1.095844294
10	0.4162048053	1.095619666
11	0.42176732	1.095120913
12	0.4235215902	1.094932733
13	0.4214735339	1.094705225
14	0.4250012505	1.094333905
15	0.4277693805	1.093959346
16	0.4260563447	1.093604855
17	0.4259110207	1.093392916
18	0.4274268526	1.09294582
19	0.4288857211	1.09257828
20	0.4226781806	1.092364002
21	0.421959406	1.092001861
22	0.4221672628	1.091808102
23	0.4177659063	1.091583564
24	0.4212288856	1.091107399
25	0.4201225225	1.0907179
26	0.4237420098	1.09035513
27	0.420402046	1.09017226
28	0.4237939631	1.089651908
29	0.4229406858	1.089474527
30	0.4221224745	1.089129576
31	0.4209801695	1.088773735
32	0.4260974988	1.088288841
33	0.4222733568	1.088092382
34	0.4221257813	1.087880803
35	0.4228520187	1.087413458
36	0.4237182724	1.087224559
37	0.4237084502	1.086925955
38	0.4242045137	1.086568494
39	0.4259597795	1.08627619
40	0.4271913844	1.086100339
41	0.4253348579	1.085875621
42	0.4263046116	1.085561358
43	0.423894328	1.085266984
44	0.4250465637	1.085095813
45	0.4274092611	1.084884685
46	0.4251649569	1.084647458
47	0.4248166234	1.084470707
48	0.4251043676	1.084146724
49	0.4251043676	1.083974744
50	0.4253922104	1.083763795
51	0.4253294877	1.083590464
52	0.4253294877	1.083354677
53	0.4249771891	1.083171897
54	0.4247015313	1.082964728
55	0.4243546359	1.082774748
56	0.4214312019	1.082584769
57	0.4188814898	1.082395329
58	0.4194494403	1.082199679
59	0.4181124087	1.081829169
60	0.4173360278	1.081568813
61	0.4200962429	1.081236461
62	0.4171292889	1.081061151
63	0.4200962429	1.080558618
64	0.4190405912	1.080235985
65	0.4183686465	1.080014507
66	0.4207817901	1.079737862
67	0.4202123543	1.079539783
68	0.4197369944	1.079085037
69	0.4214462198	1.078894338
70	0.4190652751	1.078733516
71	0.4187815118	1.078370206
72	0.4199277986	1.077864973
73	0.4234799078	1.077387729
74	0.4237667121	1.077015689
75	0.4253581123	1.076556174
76	0.4255524262	1.076194393
77	0.4261280691	1.075921708
78	0.4267984309	1.075720659
79	0.4251980074	1.075500891
80	0.4251292268	1.07531613
81	0.4238449522	1.075113191
82	0.4237667121	1.074914032
83	0.4210579985	1.074732332
84	0.4206830365	1.074561791
85	0.4248419346	1.074251938
