iter	TotalF1	MultiClass
0	0.4435918165	1.098294493
1	0.4545210826	1.097958001
2	0.4709691099	1.097441429
3	0.4446756235	1.097194392
4	0.4531730121	1.096907578
5	0.4353867312	1.096714178
6	0.4094395255	1.096482441
7	0.4135836149	1.096207506
8	0.4021833814	1.095982788
9	0.3802857526	1.095773459
10	0.3642115997	1.095587799
11	0.4052575168	1.095236188
12	0.3967541378	1.09502389
13	0.3780644	1.094816271
14	0.3767503286	1.094451251
15	0.3768026808	1.094246062
16	0.3894609942	1.093753248
17	0.3898944678	1.0935369
18	0.3944929353	1.093016458
19	0.4055209436	1.092712904
20	0.4106035526	1.092369123
21	0.4172153331	1.091831132
22	0.4218464553	1.091323199
23	0.4229035802	1.091101811
24	0.4254449326	1.090767029
25	0.4318758641	1.090259727
26	0.4318758641	1.089880037
27	0.4231841786	1.089688168
28	0.4252755941	1.08946579
29	0.4250771127	1.08926978
30	0.4237439081	1.088973426
31	0.4207662206	1.088766617
32	0.4205612701	1.088469454
33	0.4196972462	1.088285773
34	0.4118997989	1.088049446
35	0.4167980433	1.087699725
36	0.4185748138	1.087469248
37	0.4160363731	1.087276298
38	0.4231841786	1.086791134
39	0.4232268374	1.086251883
40	0.4254059662	1.086060284
41	0.4237312756	1.085791018
42	0.4233603925	1.085598339
43	0.4233525669	1.085400349
44	0.4225562026	1.085211899
45	0.4217004776	1.085051528
46	0.4271281206	1.084556105
47	0.4261840446	1.084287829
48	0.4263944871	1.083977616
49	0.425821557	1.083808425
50	0.4256944078	1.083602426
51	0.4266340679	1.083233536
52	0.4249597934	1.083055436
53	0.4243078622	1.082739373
54	0.4268407083	1.082363463
55	0.425455623	1.082181403
56	0.4271239864	1.081708929
57	0.4307317623	1.081426974
58	0.4294261688	1.081046294
59	0.4264735449	1.080901582
60	0.4270476222	1.080596859
61	0.4242472414	1.080409939
62	0.425569406	1.080164342
63	0.4242351486	1.079975712
64	0.420509996	1.079764674
65	0.420793729	1.079573614
66	0.4211814441	1.079320637
67	0.420793729	1.079142537
68	0.4221575938	1.078645854
69	0.4211037083	1.078434995
70	0.420120713	1.078280114
71	0.4213615307	1.078096704
72	0.4179806252	1.077945062
73	0.415937529	1.077767951
74	0.415254045	1.077552323
75	0.4160573808	1.077073279
76	0.4215673333	1.076810763
77	0.4218517081	1.076640852
78	0.4190537927	1.076442863
79	0.4179806252	1.076256393
80	0.415937529	1.076089272
81	0.4202960876	1.075633087
82	0.4225207922	1.075364451
83	0.4204041778	1.075170242
84	0.4190189344	1.07501077
85	0.4198071917	1.074668519
86	0.4210775737	1.074418602
87	0.4245210078	1.074205584
88	0.4231887007	1.074031713
89	0.4239494017	1.073501282
90	0.4222360436	1.073300772
91	0.4218517081	1.073069845
92	0.4241258248	1.072894354
93	0.4222533244	1.072432859
94	0.4262238021	1.072180873
95	0.4248884296	1.071994043
96	0.4252845933	1.071769505
97	0.4252031537	1.071586725
98	0.4222395248	1.071414474
99	0.4265357971	1.070992757
100	0.426340218	1.070738071
101	0.4266268209	1.070585079
102	0.4252031537	1.070452336
103	0.4245172032	1.070296825
104	0.4260347836	1.069978512
105	0.4254009196	1.069684948
106	0.4267212532	1.069197174
107	0.4285617388	1.068736399
108	0.4265193219	1.068567568
109	0.42774977	1.068410077
110	0.4296314913	1.068012838
111	0.4280370337	1.067850667
112	0.4273797106	1.067696415
113	0.4300022382	1.067375132
114	0.4303023745	1.067221691
115	0.4303882993	1.067059609
116	0.4300022382	1.066599644
117	0.4280370337	1.066446473
118	0.4284068689	1.066270352
119	0.4277487027	1.066113221
120	0.4270893972	1.065921891
121	0.4277487027	1.065791038
122	0.4288592749	1.065447077
123	0.4278314948	1.065267896
124	0.4278304566	1.065103205
125	0.4298891155	1.064607692
126	0.4298100416	1.06445749
127	0.4298100416	1.064295319
128	0.4278304566	1.064132337
129	0.4298100416	1.063696041
130	0.4295210886	1.063419666
131	0.4294400388	1.063238956
132	0.4314766263	1.062927933
133	0.4314029838	1.06279438
134	0.4314029838	1.062636798
135	0.4298891155	1.06242792
136	0.4278314948	1.062289867
137	0.4285742512	1.062143715
138	0.4278314948	1.061982984
139	0.4271716986	1.061587545
140	0.4298040451	1.061161328
141	0.431199446	1.060854084
142	0.4298891155	1.060724311
143	0.4315627903	1.060273166
144	0.4307288476	1.06000966
145	0.4315482195	1.059815091
146	0.4314630772	1.059672898
147	0.4308973778	1.059296449
148	0.4314630772	1.059125008
149	0.4307288476	1.05890839
150	0.4295086181	1.058756748
151	0.4290603219	1.058588457
152	0.431378757	1.058391907
153	0.4300778314	1.058252595
154	0.4345260581	1.057849507
155	0.431378757	1.057694985
156	0.4332370062	1.05742077
157	0.4326752703	1.057153754
158	0.433739631	1.056918237
159	0.4375776255	1.056690189
160	0.4369406226	1.056320309
161	0.4368536357	1.055815077
162	0.4368536357	1.055707982
163	0.4363025595	1.055555531
164	0.4369927373	1.055124904
165	0.4378820692	1.054668268
166	0.4386022263	1.054481979
167	0.4392774163	1.054012654
168	0.4386904179	1.05352578
169	0.4399065447	1.053372428
170	0.4389838618	1.053100193
171	0.4396126726	1.052806449
172	0.4381038596	1.052247939
173	0.438397084	1.052087388
174	0.4381038596	1.051716248
175	0.4381038596	1.051402345
176	0.438391214	1.051018785
177	0.4381449622	1.050876863
178	0.4378517462	1.050711812
179	0.4372656359	1.050463065
180	0.4381842148	1.050286315
181	0.4369320453	1.050039008
182	0.4375586376	1.049870897
183	0.4378517462	1.049704946
184	0.4378517462	1.049581023
185	0.4375177369	1.049315987
186	0.4378517462	1.048872401
187	0.4381449622	1.048729579
188	0.4375177369	1.048577577
189	0.4387317186	1.048441775
190	0.4377678819	1.048266734
191	0.4381038596	1.047984689
192	0.4381038596	1.047841507
193	0.4374749761	1.047676726
194	0.4374749761	1.047515455
195	0.43713765	1.047385052
196	0.4368450643	1.047004102
197	0.4371821789	1.046608034
198	0.4371821789	1.046465301
199	0.4368450643	1.046338408
200	0.4368450643	1.046155538
201	0.43713765	1.046016136
202	0.4377678819	1.0457448
203	0.43713765	1.04556112
204	0.43713765	1.045422438
205	0.436552587	1.04518431
206	0.43688949	1.045049858
207	0.43688949	1.044918285
208	0.43688949	1.044647579
209	0.4381449622	1.044237112
210	0.4387711694	1.043866692
211	0.4393963619	1.043563498
212	0.4381449622	1.043436515
213	0.4387711694	1.043280733
214	0.4393963619	1.043061055
215	0.4390648085	1.042901314
216	0.4390648085	1.042548443
217	0.4390648085	1.042324715
218	0.4393585564	1.042196832
219	0.4387317186	1.042024221
220	0.4399843767	1.041871589
221	0.4399843767	1.041537347
222	0.4399843767	1.041400285
223	0.4399843767	1.041216065
224	0.4399843767	1.040800467
225	0.4396903148	1.040587449
226	0.4399843767	1.040475405
227	0.4403148086	1.040328893
228	0.4399843767	1.040083206
229	0.4399843767	1.039805391
230	0.4381038596	1.039652399
231	0.4399843767	1.039388623
232	0.4399843767	1.03926947
233	0.4399843767	1.039130337
234	0.4396903148	1.038913269
235	0.4403148086	1.038820034
236	0.4396903148	1.038683511
237	0.4403148086	1.038399847
238	0.4399843767	1.038287263
239	0.440609183	1.038039956
240	0.440903667	1.037874005
241	0.440903667	1.037725693
242	0.440609183	1.037455168
243	0.4412329787	1.037201921
244	0.440903667	1.037066479
245	0.4412329787	1.036827452
246	0.440609183	1.036517058
247	0.440609183	1.036374056
248	0.440903667	1.036205315
249	0.440609183	1.035961788
250	0.440903667	1.035543041
251	0.440278548	1.035422538
252	0.440609183	1.035289435
253	0.440609183	1.035068317
254	0.440609183	1.034946103
255	0.440609183	1.034810661
256	0.4412329787	1.034408472
257	0.440609183	1.0342643
258	0.4418557675	1.033856262
259	0.4415607724	1.033482422
260	0.4428027278	1.033138731
261	0.4421822494	1.03296828
262	0.4421822494	1.032680656
263	0.4425072275	1.032482756
264	0.4415919709	1.032364593
265	0.440643717	1.032211241
266	0.4412658867	1.032060859
267	0.4422118363	1.031927666
268	0.4431264055	1.031682339
269	0.443422211	1.031555986
270	0.443422211	1.03129689
271	0.4428027278	1.031181247
272	0.443422211	1.03093421
273	0.4431264055	1.030825856
274	0.443422211	1.030547051
275	0.443422211	1.03038497
276	0.4440407025	1.030205249
277	0.4430983379	1.030070347
278	0.4430983379	1.029937694
279	0.4437181265	1.029757343
280	0.4424775527	1.029605522
281	0.4430983379	1.029462159
282	0.4424775527	1.029357225
283	0.4424775527	1.029243201
284	0.4424775527	1.029115498
285	0.4424775527	1.028980685
286	0.4424775527	1.028818244
287	0.4424775527	1.028435405
288	0.4430983379	1.02833254
289	0.4430983379	1.028216627
290	0.4433940583	1.02797148
291	0.4430983379	1.027809219
292	0.4418870557	1.027578381
293	0.4428027278	1.027447528
294	0.4427729662	1.027342594
295	0.4424775527	1.027016811
296	0.4424775527	1.02685653
