iter	Passed	Remaining
0	11	119337
1	21	106209
2	29	99687
3	40	100372
4	47	94435
5	56	93540
6	63	90756
7	70	88329
8	77	86379
9	86	86291
10	94	86004
11	102	85159
12	110	84520
13	117	83938
14	125	83609
15	134	83735
16	143	84374
17	151	84243
18	159	83836
19	167	83422
20	175	83241
21	183	83281
22	191	83001
23	198	82527
24	205	82193
25	213	82013
26	221	81631
27	228	81459
28	237	81611
29	244	81259
30	252	81076
31	260	81033
32	267	80885
33	275	80755
34	282	80478
35	290	80269
36	299	80558
37	306	80461
38	314	80242
39	320	79917
40	328	79680
41	338	80164
42	346	80127
43	353	79994
44	360	79834
45	368	79697
46	375	79526
47	382	79380
48	390	79203
49	397	79044
50	404	78924
51	413	79069
52	420	78913
53	428	78848
54	436	78888
55	443	78834
56	451	78806
57	458	78654
58	466	78582
59	473	78437
60	480	78298
61	487	78143
62	495	78109
63	503	78098
64	510	77970
65	517	77879
66	524	77781
67	531	77651
68	538	77544
69	545	77444
70	553	77336
71	560	77243
72	567	77168
73	574	77101
74	582	77098
75	590	77080
76	599	77205
77	607	77217
78	614	77187
79	622	77160
80	629	77133
81	637	77130
82	645	77080
83	652	77014
84	661	77108
85	669	77163
86	677	77230
87	684	77147
88	693	77234
89	702	77306
90	709	77255
91	717	77227
92	724	77166
93	733	77255
94	742	77385
95	750	77390
96	757	77304
97	764	77234
98	771	77175
99	779	77159
100	786	77126
101	795	77180
102	802	77137
103	811	77212
104	818	77169
105	826	77106
106	833	77070
107	842	77138
108	849	77098
109	858	77151
110	867	77253
111	874	77242
112	883	77267
113	890	77220
114	898	77213
115	905	77156
116	912	77083
117	919	77034
118	926	76966
119	934	76905
120	941	76870
121	949	76848
122	956	76801
123	965	76868
124	974	77000
125	982	76960
126	989	76934
127	997	76956
128	1005	76954
129	1013	76921
130	1020	76903
131	1028	76889
132	1037	76938
133	1044	76917
134	1052	76893
135	1059	76865
136	1067	76846
137	1076	76906
138	1083	76885
139	1091	76859
140	1098	76830
141	1106	76849
142	1114	76789
143	1120	76724
144	1128	76670
145	1135	76616
146	1142	76565
147	1149	76523
148	1157	76497
149	1163	76435
150	1171	76385
151	1178	76353
152	1185	76294
153	1192	76258
154	1200	76225
155	1206	76164
156	1214	76131
157	1221	76108
158	1229	76080
159	1236	76051
160	1244	76068
161	1252	76041
162	1259	76013
163	1267	75996
164	1274	75980
165	1282	75963
166	1290	75973
167	1298	76000
168	1308	76116
169	1315	76078
170	1324	76105
171	1333	76203
172	1342	76255
173	1349	76218
174	1357	76187
175	1364	76171
176	1372	76156
177	1379	76142
178	1387	76142
179	1396	76172
180	1404	76170
181	1411	76170
182	1419	76147
183	1426	76124
184	1434	76107
185	1441	76084
186	1449	76060
187	1456	76027
188	1464	76005
189	1471	75955
190	1478	75940
191	1485	75905
192	1493	75889
193	1501	75878
194	1508	75844
195	1516	75856
196	1523	75825
197	1530	75789
198	1538	75762
199	1545	75739
200	1553	75717
201	1560	75677
202	1567	75657
203	1575	75645
204	1582	75635
205	1591	75652
206	1598	75637
207	1606	75606
208	1613	75601
209	1621	75589
210	1628	75549
211	1635	75510
212	1642	75472
213	1649	75432
214	1657	75443
215	1666	75467
216	1674	75474
217	1681	75472
218	1689	75449
219	1696	75429
220	1703	75395
221	1711	75398
222	1720	75427
223	1728	75440
224	1736	75460
225	1744	75452
226	1752	75447
227	1760	75436
228	1767	75427
229	1775	75419
230	1783	75404
231	1790	75390
232	1799	75441
233	1807	75417
234	1814	75401
235	1822	75420
236	1830	75412
237	1838	75425
238	1847	75458
239	1854	75431
240	1862	75417
241	1870	75405
242	1877	75389
243	1884	75357
244	1892	75355
245	1900	75338
246	1907	75326
247	1915	75318
248	1922	75293
249	1930	75285
250	1937	75267
251	1945	75272
252	1953	75257
253	1960	75231
254	1968	75213
255	1975	75190
256	1983	75202
257	1991	75184
258	1998	75166
259	2006	75163
260	2014	75178
261	2022	75160
262	2030	75180
263	2037	75152
264	2045	75153
265	2053	75134
266	2061	75137
267	2069	75161
268	2078	75194
269	2087	75211
270	2096	75251
271	2105	75292
272	2112	75270
273	2121	75304
274	2128	75280
275	2135	75249
276	2142	75216
277	2150	75190
278	2157	75160
279	2164	75132
280	2171	75104
281	2178	75088
282	2185	75051
283	2192	75006
284	2198	74946
285	2204	74888
286	2211	74828
287	2217	74769
288	2223	74713
289	2231	74717
290	2239	74730
291	2246	74703
292	2254	74695
293	2262	74682
294	2269	74648
295	2277	74670
296	2285	74651
297	2291	74619
298	2299	74591
299	2306	74565
300	2313	74543
301	2320	74517
302	2327	74484
